district,bid multiplier,households of 4,population - 16 to 24,population - 25 to 44,supermarkets,convenience stores,football stadiums,music Venues,meta,google trends,location - postal area,tier
CH49,0.93,"18,559","2,868","6,531",6,16,Low,-,"11,367",Medium,Chester,3
CH60,0.83,"7,950",960,"2,303",3,2,Low,-,"2,650",Medium,Chester,5
CH61,0.87,"11,072","1,537","3,450",3,4,Low,-,"4,633",Medium,Chester,4
CH62,0.91,"18,580","2,831","7,408",8,25,Low,-,"11,250",Low,Chester,3
CH63,0.91,"18,812","2,968","6,658",5,7,Low,-,"8,967",Medium,Chester,3
CW9,0.96,"20,732","3,160","8,835",9,11,Low,2,"13,767",High,Crewe,2
FY1,0.96,"22,470","4,148","8,555",5,48,Medium,5,"15,250",Medium,The Fylde,2
FY2,0.89,"16,096","2,396","5,922",2,6,Medium,-,"8,967",Low,The Fylde,3
FY3,0.95,"21,350","3,560","8,303",3,20,Medium,-,"13,683",Medium,The Fylde,2
FY4,0.99,"28,693","4,469","10,391",12,49,Medium,-,"18,217",Medium,The Fylde,2
FY5,0.97,"28,850","3,932","9,505",9,30,Medium,-,"16,917",Low,The Fylde,2
FY6,0.93,"17,516","2,427","5,473",5,15,Medium,-,"10,917",Medium,The Fylde,3
FY7,0.91,"16,499","2,883","5,746",4,21,Medium,1,"10,283",Medium,The Fylde,3
FY8,0.96,"28,808","3,571","9,082",9,30,Medium,-,"15,250",Medium,The Fylde,2
L1,0.88,"5,865","2,204","2,877",9,40,Medium,6,"6,483",Medium,Liverpool,4
L10,0.87,"9,754","1,693","3,729",4,2,Medium,-,"4,667",Medium,Liverpool,4
L11,0.92,"17,064","3,190","6,416",3,8,Medium,-,"9,567",Medium,Liverpool,3
L12,0.92,"20,215","3,659","8,108",1,6,Medium,-,"7,850",Medium,Liverpool,3
L13,0.93,"20,815","3,668","8,610",7,20,Medium,-,"9,067",Medium,Liverpool,3
L14,0.92,"16,668","3,004","6,496",5,18,Medium,-,"9,100",Medium,Liverpool,3
L15,0.95,"21,053","8,303","8,188",4,42,Medium,-,"8,667",Medium,Liverpool,2
L16,0.87,"8,916","1,644","3,402",1,3,Medium,-,"3,583",Medium,Liverpool,4
L17,0.9,"16,764","3,301","8,385",1,20,Medium,-,"5,883",Medium,Liverpool,3
L18,0.91,"17,743","5,029","6,765",2,39,Medium,-,"5,633",Medium,Liverpool,3
L19,0.9,"15,876","2,779","6,613",3,18,Medium,-,"6,417",Medium,Liverpool,3
L2,0.84,535,126,377,2,11,Medium,1,"2,433",Medium,Liverpool,5
L20,0.95,"21,481","3,971","8,188",3,38,Medium,-,"12,183",High,Liverpool,2
L21,0.92,"17,084","3,272","6,784",-,10,Medium,-,"8,750",Medium,Liverpool,3
L22,0.85,"9,072","1,559","3,752",1,8,Medium,-,"4,383",Low,Liverpool,4
L23,0.89,"18,976","3,154","6,194",6,13,Medium,-,"7,733",Low,Liverpool,3
L25,0.92,"22,112","3,390","7,567",7,11,Medium,-,"8,633",Medium,Liverpool,3
L26,0.88,"9,666","1,855","3,865",3,2,Medium,-,"5,700",Medium,Liverpool,4
L27,0.84,"4,380",809,"1,573",-,1,Medium,-,"1,650",Medium,Liverpool,4
L28,0.83,"4,448",793,"1,470",-,-,Medium,-,"1,950",Medium,Liverpool,5
L29,0.81,238,41,116,-,-,Medium,-,"1,000",Low,Liverpool,5
L3,0.9,"11,124","3,382","5,551",2,68,Medium,7,"7,500",Medium,Liverpool,3
L30,0.9,"13,067","2,533","4,833",3,5,Medium,-,"6,833",Medium,Liverpool,3
L31,0.9,"18,691","3,083","6,365",1,18,Medium,-,"9,000",Medium,Liverpool,3
L32,0.88,"13,939","2,521","5,085",-,4,Medium,-,"6,917",Low,Liverpool,4
L33,0.88,"11,091","2,178","4,901",-,8,Medium,-,"7,250",Medium,Liverpool,4
L34,0.86,"7,817","1,278","2,937",1,7,Medium,-,"5,567",Medium,Liverpool,4
L35,0.93,"19,507","3,509","7,408",3,11,Medium,-,"11,583",Medium,Liverpool,3
L36,0.96,"26,136","5,120","9,418",-,15,Medium,-,"12,917",Medium,Liverpool,2
L38,0.82,"1,589",242,411,-,1,Medium,-,"1,017",Low,Liverpool,5
L39,0.92,"17,149","4,115","5,345",3,13,Medium,-,"9,833",Medium,Liverpool,3
L4,0.98,"28,205","5,314","10,936",4,33,Medium,-,"13,450",High,Liverpool,2
L40,0.89,"10,925","1,622","4,030",2,22,Medium,1,"6,667",High,Liverpool,3
L5,0.87,"9,331","1,602","3,413",2,7,Medium,-,"4,700",Medium,Liverpool,4
L6,0.91,"16,541","3,381","7,059",-,18,Medium,2,"8,017",Medium,Liverpool,3
L67,0.81,-,-,-,-,-,Medium,-,-,Medium,Liverpool,5
L68,0.81,-,-,-,-,-,Medium,-,-,Medium,Liverpool,5
L69,0.81,-,-,-,-,-,Medium,-,-,Medium,Liverpool,5
L7,0.91,"12,131","4,016","4,930",1,54,Medium,1,"8,150",Medium,Liverpool,3
L70,0.81,-,-,-,-,-,Medium,-,-,Medium,Liverpool,5
L71,0.81,-,-,-,-,-,Medium,-,-,Medium,Liverpool,5
L72,0.81,-,-,-,-,-,Medium,-,-,Medium,Liverpool,5
L73,0.81,-,-,-,-,-,Low,-,-,Medium,Liverpool,5
L74,0.81,-,-,-,-,-,Medium,-,-,Medium,Liverpool,5
L75,0.81,-,-,-,-,-,Medium,-,-,Medium,Liverpool,5
L8,0.95,"24,262","5,370","10,770",1,51,Medium,-,"10,433",Medium,Liverpool,2
L80,0.81,-,-,-,-,-,Medium,-,-,Medium,Liverpool,5
L9,0.94,"20,940","3,648","9,309",5,16,Medium,-,"9,517",High,Liverpool,2
L24,0.91,"10,860","2,122","4,257",1,12,Medium,-,"7,100",High,Liverpool,3
L37,0.87,"14,173","2,033","4,366",6,5,Medium,-,"6,000",Low,Liverpool,4
LA1,1.02,"31,538","8,343","12,910",7,28,Low,1,"19,000",Medium,Lancaster,1
LA2,0.91,"12,127","1,597","4,053",3,7,Low,-,"6,833",High,Lancaster,3
LA3,0.92,"15,663","2,527","6,212",2,8,Low,1,"10,367",Medium,Lancaster,3
M29,0.98,"14,533","2,579","6,173",5,11,Medium,-,"9,900",High,Manchester,2
M38,0.92,"8,622","1,635","3,365",-,7,Medium,-,"5,317",High,Manchester,3
M46,0.92,"14,541","2,377","6,235",-,21,Medium,-,"8,967",Medium,Manchester,3
M28,1.03,"25,310","3,960","10,585",5,24,Medium,-,"15,483",High,Manchester,1
M30,1,"24,379","4,120","10,785",7,35,Medium,-,"13,500",High,Manchester,1
M31,0.84,"5,480",971,"2,066",-,6,Medium,-,"3,333",Medium,Manchester,5
M41,0.95,"25,969","4,184","10,251",6,22,Medium,-,"13,917",Medium,Manchester,2
M44,0.94,"12,553","2,225","5,457",-,14,Medium,-,"7,100",High,Manchester,3
PR0,0.81,-,-,-,-,-,Low,-,-,Medium,Preston,5
PR1,1.07,"44,815","8,343","19,987",20,87,Low,1,"23,922",Medium,Preston,1
PR11,0.81,-,-,-,-,-,Low,-,-,Medium,Preston,5
PR2,1.09,"47,362","8,343","21,231",6,61,Low,-,"28,850",Medium,Preston,1
PR25,0.95,"19,510","3,352","8,012",4,16,Low,-,"13,800",Medium,Preston,2
PR26,0.87,"8,375","1,357","3,427",1,4,Low,-,"5,383",Medium,Preston,4
PR3,1.01,"22,688","3,435","7,767",7,25,Low,-,"16,789",High,Preston,1
PR4,1.06,"35,004","5,462","12,792",5,29,Low,-,"24,450",High,Preston,1
PR5,1,"25,923","4,403","11,084",6,22,Low,1,"16,372",High,Preston,2
PR6,0.95,"21,741","3,331","8,886",2,19,Low,-,"13,850",Medium,Preston,2
PR7,1.04,"34,821","5,782","15,382",5,35,Low,-,"24,256",Medium,Preston,1
PR8,1.02,"34,045","5,110","11,956",6,24,Low,2,"19,400",High,Preston,1
PR9,0.98,"27,737","4,060","9,411",9,38,Low,1,"15,483",High,Preston,2
WA1,0.89,"13,788","2,390","6,083",3,14,Low,4,"9,350",Medium,Warrington,4
WA10,0.95,"25,425","4,301","9,992",5,32,Low,1,"14,983",Medium,Warrington,2
WA11,0.94,"25,803","4,109","9,650",5,16,Low,-,"14,667",Medium,Warrington,2
WA12,0.91,"14,244","2,550","6,274",3,11,Low,-,"10,167",Medium,Warrington,3
WA13,0.87,"7,848","1,029","3,207",7,6,Low,1,"3,767",High,Warrington,4
WA2,0.96,"26,678","5,047","11,287",7,12,Low,-,"16,467",Medium,Warrington,2
WA3,1.04,"29,297","4,659","11,694",2,14,Low,-,"17,483",High,Warrington,1
WA5,1.05,"35,795","6,085","16,827",6,22,Low,-,"25,234",Medium,Warrington,1
WA55,0.8,-,-,-,-,-,Low,-,-,Medium,Warrington,5
WA88,0.8,-,-,-,-,-,Low,-,-,Medium,Warrington,5
WA9,1,"31,674","5,738","13,252",8,18,Low,1,"20,950",Medium,Warrington,2
WA4,0.97,"29,085","4,422","11,499",10,23,Low,-,"16,017",High,Warrington,2
WA7,1.05,"40,735","7,115","17,000",10,18,Low,1,"24,778",Medium,Warrington,1
WA8,1.04,"39,594","7,247","16,005",9,10,Low,-,"23,450",Medium,Warrington,1
WN1,0.9,"13,236","2,217","5,443",1,26,Low,1,"8,483",Medium,Wigan,3
WN2,1.02,"33,383","5,828","14,477",2,25,Low,-,"20,283",Medium,Wigan,1
WN3,0.93,"18,773","3,381","8,566",2,11,Low,1,"11,500",Medium,Wigan,3
WN4,0.92,"17,987","3,028","7,296",2,11,Low,-,"10,700",Medium,Wigan,3
WN5,0.99,"28,131","4,656","11,444",5,19,Low,-,"16,133",High,Wigan,2
WN6,0.98,"24,958","4,055","9,958",5,16,Low,-,"15,567",High,Wigan,2
WN7,1.01,"30,869","5,386","13,170",8,47,Low,-,"19,767",Medium,Wigan,1
WN8,1.01,"29,268","5,319","11,794",2,14,Low,1,"18,383",High,Wigan,1
BB10,0.96,"23,538","4,166","9,527",3,38,Medium,-,"14,233",Medium,Blackburn,2
BB11,0.92,"14,513","2,650","5,699",6,30,Medium,2,"11,233",Low,Blackburn,3
BB12,0.96,"22,030","3,798","8,968",-,21,Medium,-,"14,756",Medium,Blackburn,2
BB18,0.88,"10,872","1,821","4,478",2,11,Medium,-,"7,267",Low,Blackburn,4
BB4,0.97,"25,875","4,406","10,887",3,17,Medium,1,"16,500",Medium,Blackburn,2
BB8,0.91,"14,939","2,558","5,914",6,24,Medium,1,"9,700",Medium,Blackburn,3
BB9,0.97,"26,938","5,279","12,286",2,49,Medium,-,"14,867",Medium,Blackburn,2
BB94,0.8,-,-,-,-,-,Medium,-,-,Low,Blackburn,5
BD1,0.83,"2,891","1,002","1,722",3,30,Low,4,"2,583",Medium,Bradford,5
BD12,0.87,"10,821","1,858","4,386",-,7,Low,-,"5,767",Medium,Bradford,4
BD13,0.9,"15,706","2,683","6,561",3,24,Low,1,"9,817",Medium,Bradford,3
BD14,0.83,"5,185",893,"2,211",-,4,Low,-,"2,617",Medium,Bradford,5
BD15,0.85,"9,441","1,541","4,126",4,6,Low,-,"4,700",Medium,Bradford,4
BD16,0.89,"16,480","2,412","6,682",6,16,Low,-,"7,783",Medium,Bradford,4
BD18,0.89,"17,322","2,895","8,049",2,21,Low,1,"8,683",Medium,Bradford,3
BD20,0.93,"21,330","3,184","8,492",5,10,Low,-,"13,200",Medium,Bradford,3
BD21,0.91,"16,078","3,493","7,817",6,30,Low,1,"8,000",Medium,Bradford,3
BD22,0.91,"18,946","3,037","7,834",2,6,Low,-,"10,783",Medium,Bradford,3
BD5,0.9,"18,369","4,029","9,934",2,27,Low,-,"7,617",Medium,Bradford,3
BD6,0.92,"19,160","3,426","8,465",1,14,Low,-,"11,417",Medium,Bradford,3
BD7,0.91,"19,158","5,342","10,339",3,46,Low,1,"9,233",Medium,Bradford,3
BD8,0.89,"16,938","4,226","9,914",2,40,Low,-,"6,950",Medium,Bradford,3
BD9,0.89,"14,965","4,068","8,983",2,35,Low,-,"6,567",Medium,Bradford,4
BD97,0.8,-,-,-,-,-,Low,-,-,Medium,Bradford,5
BD98,0.8,-,-,-,-,-,Low,-,-,Medium,Bradford,5
BD99,0.8,-,-,-,-,-,Low,-,-,Medium,Bradford,5
BD10,0.91,"16,411","2,782","7,283",6,30,Low,-,"10,700",Medium,Bradford,3
BD11,0.84,"7,001",973,"2,985",2,6,Low,2,"4,217",Medium,Bradford,4
BD17,0.86,"11,460","1,641","4,556",3,13,Low,-,"6,067",Medium,Bradford,4
BD19,0.88,"13,945","2,270","5,984",2,19,Low,2,"8,467",Medium,Bradford,4
BD2,0.9,"17,587","3,332","7,690",5,21,Low,-,"10,067",Medium,Bradford,3
BD24,0.82,"3,111",399,886,2,1,Low,1,"1,550",Low,Bradford,5
BD3,0.92,"18,073","4,884","10,618",4,46,Low,-,"7,833",Medium,Bradford,3
BD4,0.93,"19,978","3,714","8,935",-,37,Low,-,"11,883",Medium,Bradford,3
BL0,0.88,"11,205","1,608","4,689",4,10,Medium,-,"5,733",Medium,Bolton,4
BL8,0.94,"21,926","3,457","8,749",3,18,Medium,-,"12,333",Medium,Bolton,2
BL9,1,"30,671","5,476","12,957",3,50,Medium,-,"18,567",Medium,Bolton,2
HD1,0.89,"13,999","4,055","6,841",8,64,Low,2,"7,800",Medium,Huddersfield,3
HD2,0.9,"18,739","3,591","8,364",-,14,Low,-,"9,067",Medium,Huddersfield,3
HD3,0.91,"18,907","3,088","8,199",19,13,Low,-,"11,033",Medium,Huddersfield,3
HD4,0.91,"19,553","3,800","7,955",3,15,Low,-,"9,967",Medium,Huddersfield,3
HD6,0.9,"17,473","2,680","6,942",3,18,Low,-,"9,483",Medium,Huddersfield,3
HD7,0.9,"14,362","2,166","6,214",3,17,Low,1,"8,017",Medium,Huddersfield,3
HD5,0.91,"20,186","3,892","8,194",5,15,Low,-,"10,433",Medium,Huddersfield,3
HD8,0.93,"20,199","2,890","8,216",4,16,Low,-,"11,150",Medium,Huddersfield,3
HD9,0.95,"21,683","3,121","8,333",11,19,Low,-,"11,983",High,Huddersfield,2
HG3,0.89,"15,925","2,112","6,014",3,16,Low,-,"9,567",Low,Harrogate,4
HX1,0.88,"14,301","3,210","7,546",3,36,Low,2,"6,800",Medium,Halifax,4
HX2,0.93,"22,877","3,831","8,982",3,4,Low,-,"13,400",Medium,Halifax,3
HX3,0.97,"29,515","4,650","11,826",1,16,Low,-,"17,767",Medium,Halifax,2
HX4,0.84,"7,580","1,085","3,279",1,1,Low,-,"4,200",Medium,Halifax,5
HX5,0.84,"6,687","1,108","2,748",3,4,Low,1,"3,983",Medium,Halifax,5
HX6,0.88,"12,083","1,944","5,243",1,11,Low,-,"7,083",Medium,Halifax,4
HX7,0.84,"8,752","1,106","3,196",3,8,Low,-,"4,183",Medium,Halifax,4
LS29,0.89,"19,036","2,355","6,829",8,16,Low,-,"8,333",Medium,Leeds,3
LS19,0.87,"12,447","1,797","5,293",4,10,Low,-,"6,900",Medium,Leeds,4
LS20,0.84,"7,807","1,075","3,265",4,6,Low,-,"3,633",Medium,Leeds,5
LS21,0.87,"11,060","1,445","4,154",5,16,Low,-,"6,133",Medium,Leeds,4
LS28,0.95,"24,044","3,523","11,331",6,21,Low,2,"14,183",Medium,Leeds,2
M1,0.88,"8,447","3,029","4,532",13,44,Medium,9,"6,767",Medium,Manchester,4
M11,0.89,"14,123","2,637","6,361",3,24,Medium,1,"7,183",Medium,Manchester,4
M12,0.87,"10,442","2,119","5,372",-,40,Medium,1,"4,717",Medium,Manchester,4
M13,0.91,"12,823","4,709","6,172",3,28,Medium,3,"9,200",Medium,Manchester,3
M14,0.99,"33,099","8,343","12,941",3,115,Medium,-,"14,850",Medium,Manchester,2
M15,0.9,"15,799","4,378","8,997",3,24,Medium,1,"7,917",Medium,Manchester,3
M16,0.93,"22,892","4,536","12,523",2,52,Medium,1,"9,917",Medium,Manchester,3
M17,0.87,-,-,-,1,3,Medium,2,"1,600",High,Manchester,4
M18,0.9,"15,758","2,848","7,168",3,34,Medium,-,"8,383",Medium,Manchester,3
M19,0.94,"22,389","4,638","11,554",4,69,Medium,-,"10,683",Medium,Manchester,3
M2,0.83,-,-,-,4,22,Medium,4,"2,550",Medium,Manchester,5
M20,0.99,"33,627","8,343","18,708",8,63,Medium,-,"14,100",Medium,Manchester,2
M21,0.92,"20,020","2,912","11,956",5,53,Medium,-,"7,533",Medium,Manchester,3
M22,0.98,"28,844","5,082","13,122",3,29,Medium,-,"15,650",Medium,Manchester,2
M23,0.93,"21,002","3,419","9,565",5,15,Medium,-,"11,567",Medium,Manchester,3
M24,1,"30,940","5,450","12,499",3,40,Medium,-,"17,583",Medium,Manchester,2
M25,0.98,"19,162","3,196","8,684",3,41,Medium,-,"8,700",High,Manchester,2
M26,0.95,"22,441","4,094","9,958",-,29,Medium,-,"13,383",Medium,Manchester,2
M27,1.01,"26,936","4,455","11,344",4,20,Medium,-,"14,483",High,Manchester,1
M3,0.97,"10,012","2,668","6,144",15,58,Medium,8,"10,300",High,Manchester,2
M32,0.91,"18,996","3,152","8,749",5,24,Medium,-,"9,817",Medium,Manchester,3
M33,1.01,"38,670","5,526","17,086",8,28,Medium,1,"19,033",Medium,Manchester,1
M34,0.99,"30,197","5,275","11,667",3,27,Medium,1,"19,283",Low,Manchester,2
M35,0.89,"13,460","2,273","5,359",4,12,Medium,-,"7,917",Medium,Manchester,4
M4,0.89,"9,872","2,824","5,924",6,55,Medium,5,"7,933",Medium,Manchester,3
M40,0.96,"28,127","5,049","11,650",-,73,Medium,-,"14,250",Medium,Manchester,2
M43,0.9,"15,164","2,781","6,079",-,17,Medium,-,"9,000",Medium,Manchester,3
M45,0.89,"14,589","2,384","6,113",2,11,Medium,-,"7,583",Medium,Manchester,3
M5,0.97,"11,797","2,599","5,618",2,10,Medium,1,"12,533",High,Manchester,2
M50,0.89,"2,858",695,"2,051",3,7,Medium,1,"3,483",High,Manchester,3
M6,1,"21,004","4,071","8,698",4,38,Medium,-,"13,633",High,Manchester,2
M60,0.83,-,-,-,-,-,Medium,-,-,High,Manchester,5
M61,0.81,-,-,-,-,-,Medium,-,-,Medium,Manchester,5
M7,0.96,"17,053","3,427","7,759",-,39,Medium,-,"7,950",High,Manchester,2
M8,0.98,"19,084","4,046","10,392",1,52,Medium,1,"8,600",High,Manchester,2
M9,0.95,"27,447","4,651","12,110",3,22,Medium,-,"13,467",Medium,Manchester,2
M90,0.81,-,-,-,-,-,Medium,-,"1,000",Medium,Manchester,5
M99,0.81,-,-,-,-,-,Medium,-,-,Medium,Manchester,5
OL1,0.9,"13,282","2,683","6,151",3,38,Medium,2,"9,883",Low,Oldham,3
OL10,0.92,"18,236","3,482","7,242",3,16,Medium,-,"11,400",Medium,Oldham,3
OL11,0.96,"27,897","5,573","11,976",3,24,Medium,-,"15,433",Medium,Oldham,2
OL12,0.99,"28,428","5,271","12,119",2,26,Medium,-,"15,533",Medium,Oldham,2
OL13,0.87,"9,693","1,635","3,987",-,5,Medium,-,"6,250",Low,Oldham,4
OL14,0.86,"10,096","1,540","4,002",3,13,Medium,-,"5,750",Medium,Oldham,4
OL15,0.86,"9,071","1,428","3,748",3,4,Medium,-,"5,217",Medium,Oldham,4
OL16,0.95,"22,723","4,854","10,667",7,44,Medium,-,"13,917",Medium,Oldham,2
OL2,0.95,"27,117","4,359","10,522",3,16,Medium,-,"14,633",Medium,Oldham,2
OL3,0.85,"9,359","1,287","3,426",2,13,Medium,-,"4,417",Medium,Oldham,4
OL4,0.96,"27,229","5,448","12,339",4,24,Medium,-,"14,500",Low,Oldham,2
OL5,0.85,"7,077","1,005","3,327",1,5,Medium,1,"4,033",Low,Oldham,4
OL6,0.94,"18,640","3,276","8,199",16,42,Medium,-,"11,067",High,Oldham,2
OL7,0.89,"10,800","2,058","4,532",-,12,Medium,-,"7,417",Medium,Oldham,3
OL8,0.95,"23,479","5,376","10,896",-,48,Medium,-,"13,817",Low,Oldham,2
OL9,0.95,"24,997","4,993","11,359",4,31,Medium,1,"12,900",Medium,Oldham,2
OL95,0.8,-,-,-,-,-,Medium,-,-,Low,Oldham,5
S36,0.94,"16,911","2,533","6,876",2,8,High,1,"9,883",High,Sheffield,2
S6,1.03,"38,263","6,839","17,450",6,18,High,-,"18,750",Medium,Sheffield,1
SK1,0.85,"8,073","1,171","3,574",2,17,Low,-,"5,633",Low,Stockport,4
SK13,0.94,"20,826","3,460","8,524",2,21,Low,1,"12,683",Medium,Stockport,2
SK14,1,"29,506","5,146","12,488",5,27,Low,-,"18,217",Medium,Stockport,1
SK15,0.93,"17,547","3,179","7,481",3,12,Low,-,"10,717",High,Stockport,3
SK16,0.88,"12,667","2,165","5,328",1,14,Low,-,"7,100",Medium,Stockport,4
SK2,0.91,"18,473","3,130","7,543",5,10,Low,-,"11,433",Low,Stockport,3
SK3,0.91,"18,690","3,002","9,104",4,21,Low,-,"10,817",Low,Stockport,3
SK4,0.92,"22,205","3,389","9,859",4,24,Low,-,"10,600",Medium,Stockport,3
SK5,0.91,"19,683","3,558","8,365",1,27,Low,-,"11,017",Low,Stockport,3
SK6,0.99,"31,734","4,583","11,277",6,21,Low,1,"16,183",High,Stockport,2
SK8,1,"35,939","5,682","14,059",6,43,Low,-,"18,067",Medium,Stockport,1
WA15,0.96,"26,002","3,852","10,774",8,20,Low,-,"12,283",High,Warrington,2
WF14,0.87,"12,200","1,873","4,586",3,11,Low,-,"6,950",Medium,Wakefield,4
WF15,0.86,"11,198","1,815","4,732",3,7,Low,-,"6,300",Medium,Wakefield,4
DN1,0.86,"6,298","1,079","3,113",3,55,Medium,1,"6,833",Low,Doncaster,4
DN11,0.96,"17,598","2,997","6,757",3,17,Medium,-,"12,383",High,Doncaster,2
DN12,0.93,"15,428","2,880","6,128",2,15,Medium,-,"9,467",High,Doncaster,3
DN2,0.9,"15,591","2,848","6,560",5,13,Medium,-,"9,867",Low,Doncaster,3
DN4,1.01,"34,079","5,992","14,282",5,45,Medium,1,"20,517",Medium,Doncaster,1
DN5,0.97,"25,518","4,517","10,054",5,19,Medium,-,"14,750",Medium,Doncaster,2
DN55,0.8,-,-,-,-,-,Medium,-,-,Low,Doncaster,5
DN6,0.94,"19,436","3,491","7,651",2,15,Medium,-,"12,867",Medium,Doncaster,2
DN10,0.85,"7,332",936,"2,567",3,5,Medium,-,"4,283",Medium,Doncaster,4
DN14,0.99,"28,582","4,712","11,795",4,23,Medium,1,"19,983",Medium,Doncaster,2
DN3,0.94,"18,769","2,977","7,550",4,14,Medium,-,"11,583",Medium,Doncaster,2
DN7,0.91,"14,033","2,501","5,544",1,3,Medium,-,"8,417",Medium,Doncaster,3
DN9,0.88,"12,115","1,902","4,365",3,8,Medium,-,"7,983",Medium,Doncaster,4
HG1,0.92,"22,672","3,413","10,128",13,24,Low,2,"11,933",Low,Harrogate,3
HG2,0.9,"20,814","2,891","8,070",7,15,Low,-,"10,317",Low,Harrogate,3
HG5,0.86,"11,385","1,546","3,887",5,7,Low,-,"6,517",Medium,Harrogate,4
LS1,0.85,"3,051",986,"1,790",17,26,Low,1,"4,950",Medium,Leeds,4
LS10,0.95,"23,916","4,647","11,394",5,12,Low,1,"15,617",Medium,Leeds,2
LS11,0.95,"23,649","4,579","11,608",3,45,Low,-,"12,900",Medium,Leeds,2
LS12,0.96,"27,468","5,061","13,263",3,36,Low,1,"14,017",Medium,Leeds,2
LS13,0.95,"23,161","3,926","10,864",5,9,Low,-,"13,000",Medium,Leeds,2
LS14,0.96,"22,597","3,946","9,135",4,10,Low,-,"13,550",High,Leeds,2
LS15,0.93,"22,051","3,478","8,143",2,24,Low,-,"11,767",Medium,Leeds,3
LS16,0.94,"22,570","3,733","8,619",4,14,Low,-,"10,967",High,Leeds,3
LS17,0.93,"27,307","4,091","11,574",11,17,Low,1,"12,017",Medium,Leeds,3
LS18,0.87,"11,947","1,813","5,422",1,15,Low,-,"6,233",Medium,Leeds,4
LS2,0.86,"5,110","2,405","2,658",3,10,Low,4,"5,700",Medium,Leeds,4
LS22,0.85,"9,567","1,212","3,179",9,17,Low,1,"4,933",Medium,Leeds,4
LS23,0.84,"5,145",592,"1,927",-,1,Low,-,"2,683",Medium,Leeds,5
LS24,0.85,"7,263","1,146","2,788",2,6,Low,-,"4,400",Medium,Leeds,4
LS25,0.96,"24,656","4,015","10,112",6,27,Low,-,"16,617",Medium,Leeds,2
LS26,0.91,"18,740","2,732","8,106",5,9,Low,-,"11,717",Medium,Leeds,3
LS27,0.96,"23,146","3,386","11,303",1,15,Low,-,"14,283",Medium,Leeds,2
LS3,0.83,"1,812","1,026",798,-,7,Low,-,"1,283",Medium,Leeds,5
LS4,0.86,"6,675","2,809","3,092",3,6,Low,1,"3,317",Medium,Leeds,4
LS5,0.84,"5,318","1,276","2,716",1,2,Low,-,"2,750",Medium,Leeds,5
LS6,0.97,"31,661","8,343","10,710",12,39,Low,2,"14,150",Medium,Leeds,2
LS7,0.91,"19,681","3,558","9,913",11,36,Low,-,"8,383",Medium,Leeds,3
LS8,0.96,"29,620","5,772","15,039",5,56,Low,1,"12,467",Medium,Leeds,2
LS88,0.8,-,-,-,-,-,Low,-,-,Medium,Leeds,5
LS9,0.96,"25,613","4,947","11,747",1,44,Low,3,"15,333",Medium,Leeds,2
LS98,0.8,-,-,-,-,-,Low,-,-,Medium,Leeds,5
LS99,0.8,-,-,-,-,-,Low,-,-,Medium,Leeds,5
S1,0.92,"6,359","5,066","2,194",11,34,High,4,"5,083",High,Sheffield,3
S10,0.98,"28,570","8,343","10,177",11,23,High,-,"11,500",Medium,Sheffield,2
S13,0.97,"19,659","3,292","7,794",2,7,High,-,"10,417",High,Sheffield,2
S2,1.04,"29,037","7,683","13,032",3,49,High,1,"16,367",High,Sheffield,1
S3,0.91,"11,979","5,348","5,650",1,20,High,-,"5,883",Medium,Sheffield,3
S35,1,"25,505","3,834","9,943",5,11,High,-,"12,550",High,Sheffield,1
S4,0.88,"8,535","1,916","4,284",-,29,High,-,"3,933",Medium,Sheffield,4
S5,1.05,"38,224","7,207","15,861",2,29,High,-,"21,567",Medium,Sheffield,1
S60,1,"22,500","4,062","9,575",2,39,High,1,"15,433",High,Sheffield,1
S61,0.99,"22,775","4,216","9,101",5,8,High,-,"12,783",High,Sheffield,2
S62,0.89,"12,713","2,219","5,125",4,4,High,-,"7,167",High,Sheffield,3
S63,1.02,"24,218","4,358","9,835",6,14,High,-,"17,983",High,Sheffield,1
S64,0.97,"19,600","3,618","7,673",2,22,High,1,"13,383",High,Sheffield,2
S65,1,"22,364","4,232","9,300",5,23,High,-,"12,833",High,Sheffield,2
S66,1.04,"28,676","4,933","11,440",12,14,High,-,"18,083",High,Sheffield,1
S70,0.98,"25,717","4,496","10,701",7,36,High,2,"16,117",Medium,Sheffield,2
S71,1.01,"28,654","5,003","11,537",10,20,High,-,"19,417",Medium,Sheffield,1
S72,0.95,"15,875","2,855","6,697",3,13,High,-,"10,750",High,Sheffield,2
S73,0.98,"17,157","2,894","7,207",3,16,High,-,"12,250",High,Sheffield,2
S74,0.93,"11,294","1,913","4,541",1,8,High,-,"7,250",High,Sheffield,3
S75,1,"27,215","4,038","11,069",5,13,High,-,"16,283",High,Sheffield,2
S9,0.96,"16,981","3,448","8,363",1,39,High,1,"9,667",High,Sheffield,2
S95,0.83,-,-,-,-,-,High,-,-,High,Sheffield,5
S96,0.82,-,-,-,-,-,High,-,-,Medium,Sheffield,5
S97,0.83,-,-,-,-,-,High,-,-,High,Sheffield,5
S98,0.82,-,-,-,-,-,High,-,-,Medium,Sheffield,5
S99,0.82,-,-,-,-,-,High,-,-,Medium,Sheffield,5
WF1,0.94,"21,897","3,991","10,145",6,45,Low,3,"15,333",Medium,Wakefield,2
WF10,1,"28,901","5,272","12,537",10,27,Low,-,"21,717",Medium,Wakefield,2
